"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","doubledash-us-treatment-min-119-0 Value","doubledash-us-treatment-min-119-0 Exposure Volume","doubledash-us-treatment-min-119-0 Absolute Impact","doubledash-us-treatment-min-119-0 Absolute Impact Confidence Interval","doubledash-us-treatment-min-119-0 Relative Impact","doubledash-us-treatment-min-119-0 Relative Impact Confidence Interval","doubledash-us-treatment-min-119-0 P Value","doubledash-us-treatment-min-119-0 Significance","doubledash-us-treatment-min-119-0 Coverage","doubledash-us-treatment-min-119-0 Relative Global Lift","doubledash-us-treatment-min-119-0 Absolute Global Lift","doubledash-us-treatment-min-149-0 Value","doubledash-us-treatment-min-149-0 Exposure Volume","doubledash-us-treatment-min-149-0 Absolute Impact","doubledash-us-treatment-min-149-0 Absolute Impact Confidence Interval","doubledash-us-treatment-min-149-0 Relative Impact","doubledash-us-treatment-min-149-0 Relative Impact Confidence Interval","doubledash-us-treatment-min-149-0 P Value","doubledash-us-treatment-min-149-0 Significance","doubledash-us-treatment-min-149-0 Coverage","doubledash-us-treatment-min-149-0 Relative Global Lift","doubledash-us-treatment-min-149-0 Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.009970","22,459,406","0.009953","21,797,003","-0.000017","[-0.000076, +0.000042]","-0.001705","[-0.7575%, +0.4165%]","0.569129","-","","","","0.009951","21,803,134","-0.000019","[-0.000078, +0.00004]","-0.001906","[-0.7775%, +0.3964%]","0.524520","-","","",""
"active_share_7d","Metric","N/A","","mean","0.442519","22,459,406","0.442474","21,797,003","-0.000045","[-0.000338, +0.000248]","-0.000102","[-0.0763%, +0.056%]","0.763162","-","","","","0.442410","21,803,134","-0.000109","[-0.000402, +0.000184]","-0.000246","[-0.0908%, +0.0415%]","0.465422","-","","",""
"ads_promotion_ads_revenue_archived","Metric","N/A","","mean","1.227889","22,650,682","1.228262","21,982,886","0.000051","[-0.002224, +0.002326]","0.000042","[-0.1811%, +0.1894%]","0.964911","-","0.893613","0.000037","0.000263","1.227555","21,988,750","-0.000063","[-0.002471, +0.002345]","-0.000051","[-0.2012%, +0.191%]","0.959137","-","0.893613","-0.000046","-0.000325"
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"ads_revenue","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"avg_dat_mins","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"cng_order_rate_nc","Metric","N/A","","mean","0.572926","22,459,406","0.572161","21,797,003","-0.000765","[-0.002262, +0.000732]","-0.001335","[-0.3948%, +0.1277%]","0.316437","-","0.901061","-0.001203","-0.004115","0.571231","21,803,134","-0.001695","[-0.003191, -0.000199]","-0.002959","[-0.557%, -0.0347%]","0.026399","Significant","0.901061","-0.002666","-0.009117"
"consumer_mto","Metric","N/A","","mean","0.092863","22,459,406","0.093251","21,797,003","0.000388","[+0.000017, +0.000759]","0.004178","[+0.0181%, +0.8175%]","0.040475","Significant","0.749732","0.003133","0.005290","0.093063","21,803,134","0.000200","[-0.000165, +0.000565]","0.002154","[-0.1774%, +0.6081%]","0.282478","-","0.749732","0.001615","0.002727"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"consumers_mau","Metric","N/A","","mean","0.420552","22,650,682","0.420311","21,982,886","-0.000125","[-0.000379, +0.00013]","-0.000296","[-0.0901%, +0.0309%]","0.337344","-","0.386223","-0.000114","-0.000054","0.420252","21,988,750","-0.000188","[-0.000442, +0.000067]","-0.000446","[-0.1051%, +0.0159%]","0.148164","-","0.386223","-0.000172","-0.000082"
