"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"active_share_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ads_revenue","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"avg_dat_mins","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"cng_order_rate_nc","Metric","N/A","","mean","0.372269","701,402","0.373063","700,314","0.000789","[-0.002598, +0.004177]","0.002120","[-0.6979%, +1.1219%]","0.647929","-","0.041173","0.000087","0.000178"
"consumer_mto","Metric","N/A","","mean","0.082502","701,402","0.082420","700,314","-0.000605","[-0.002561, +0.00135]","-0.007336","[-3.104%, +1.6367%]","0.544103","-","0.048322","-0.000355","-0.000511"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"consumers_mau","Metric","N/A","","mean","0.982496","701,402","0.982398","700,314","-0.000091","[-0.000523, +0.000341]","-0.000093","[-0.0533%, +0.0347%]","0.678434","-","0.035325","-0.000003","-0.000002"
"dashpass_dtp_signup","Metric","N/A","","mean","0.008330","701,402","0.008519","700,314","0.000189","[-0.000118, +0.000496]","0.022696","[-1.4166%, +5.9557%]","0.227525","-","0.031495","0.000715","0.000141"
"dashpass_paid_balance","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dashpass_signup","Metric","N/A","","mean","0.032720","701,402","0.033021","700,314","0.000302","[-0.0003, +0.000903]","0.009218","[-0.9164%, +2.76%]","0.325677","-","0.029579","0.000273","0.000224"
"dbd_attach_rate_post_checkout","Metric","N/A","","mean","0.049489","473,815","0.050126","472,795","0.000625","[-0.000111, +0.001361]","0.012628","[-0.224%, +2.7497%]","0.095984","-","0.039005","0.000642","0.000024"
"dbd_attach_rate_pre_and_post","Metric","N/A","","mean","0.050151","530,697","0.050834","529,364","0.000707","[-0.000025, +0.001438]","0.014090","[-0.0489%, +2.8668%]","0.058188","-","0.038671","0.000668","0.000027"
"dbd_attach_rate_pre_checkout","Metric","N/A","","mean","0.004390","530,697","0.004528","529,364","0.000141","[-0.000114, +0.000395]","0.032049","[-2.5899%, +8.9997%]","0.278373","-","0.025107","0.000598","0.000004"
"dbd_avg_o2_20_late","Metric","N/A","","mean","0.024011","67,144","0.024076","68,233","0.000068","[-0.001228, +0.001363]","0.002825","[-5.1134%, +5.6784%]","0.918263","-","0.054448","0.000139","0.000004"
