"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"active_share_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ads_revenue","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"avg_dat_mins","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"cng_order_rate_nc","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"consumer_mto","Metric","N/A","","mean","0.191274","403,469","0.194298","403,246","0.002678","[-0.000651, +0.006008]","0.014002","[-0.3405%, +3.141%]","0.114894","-","0.038604","0.000541","0.000826"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"consumers_mau","Metric","N/A","","mean","0.972181","403,469","0.972736","403,246","0.000583","[-0.000124, +0.001291]","0.000600","[-0.0127%, +0.1328%]","0.105960","-","0.015879","0.000010","0.000005"
"dashpass_paid_balance","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dashpass_signup","Metric","N/A","","mean","0.045845","403,469","0.046183","403,246","0.000355","[-0.000602, +0.001313]","0.007754","[-1.3138%, +2.8645%]","0.466960","-","0.014110","0.000109","0.000086"
"dbd_attach_rate_post_checkout","Metric","N/A","","mean","0.105854","311,286","0.105621","311,088","-0.000178","[-0.001077, +0.000722]","-0.001678","[-1.0174%, +0.6817%]","0.698623","-","0.027503","-0.000132","-0.000005"
"dbd_attach_rate_pre_and_post","Metric","N/A","","mean","0.111478","314,085","0.111481","314,043","0.000184","[-0.000735, +0.001104]","0.001655","[-0.6598%, +0.9907%]","0.694343","-","0.027722","0.000131","0.000005"
"dbd_attach_rate_pre_checkout","Metric","N/A","","mean","0.015232","314,085","0.015627","314,043","0.000392","[-0.000046, +0.00083]","0.025745","[-0.3029%, +5.4519%]","0.079495","-","0.028467","0.002078","0.000011"
"dbd_avg_o2_20_late","Metric","N/A","","mean","0.028829","213,568","0.028791","213,564","-0.000038","[-0.000783, +0.000706]","-0.001332","[-2.7161%, +2.4498%]","0.919523","-","0.126314","-0.000193","-0.000005"
"dbd_avg_o2_cancellations","Metric","N/A","","mean","0.030076","218,562","0.030142","218,667","0.000066","[-0.000692, +0.000824]","0.002194","[-2.3001%, +2.739%]","0.864473","-","0.126834","0.000317","0.000008"
