"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1  Value","treatment1  Exposure Volume","treatment1  Absolute Impact","treatment1  Absolute Impact Confidence Interval","treatment1  Relative Impact","treatment1  Relative Impact Confidence Interval","treatment1  P Value","treatment1  Significance","treatment1  Coverage","treatment1  Relative Global Lift","treatment1  Absolute Global Lift"
"dbd_attach_rate_post_checkout","Metric","N/A","","mean","0.043031","919,123","0.042268","919,742","-0.000764","[-0.001272, -0.000256]","-0.017749","[-2.9557%, -0.594%]","0.003220","Significant","","",""
"dbd_attach_rate_pre_and_post","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dbd_attach_rate_pre_checkout","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dbd_avg_o2_20_late","Metric","N/A","","mean","0.019190","126,104","0.019877","127,433","0.000686","[-0.000101, +0.001473]","0.035758","[-0.5245%, +7.6761%]","0.087407","-","","",""
"dbd_avg_o2_cancellations","Metric","N/A","","mean","0.028193","129,088","0.027852","130,412","-0.000341","[-0.001289, +0.000608]","-0.012088","[-4.5737%, +2.1561%]","0.481377","-","","",""
"dbd_avg_o2_dx_cost","Metric","N/A","","mean","4.043592","129,139","4.043181","130,468","-0.000410","[-0.023388, +0.022568]","-0.000101","[-0.5784%, +0.5581%]","0.972096","-","","",""
"dbd_avg_o2_hqdr","Metric","N/A","","mean","0.931935","129,140","0.931690","130,473","-0.000245","[-0.001716, +0.001225]","-0.000263","[-0.1842%, +0.1315%]","0.743701","-","","",""
"dbd_avg_o2_mi","Metric","N/A","","mean","0.017749","126,158","0.017843","127,494","0.000094","[-0.0007, +0.000889]","0.005300","[-3.9462%, +5.0062%]","0.816476","-","","",""
"dbd_avg_o2_nd","Metric","N/A","","mean","0.004998","126,104","0.004813","127,433","-0.000185","[-0.00058, +0.000209]","-0.037092","[-11.6012%, +4.1828%]","0.356965","-","","",""
"dbd_avg_o2_package","Metric","N/A","","mean","0.613315","125,055","0.610949","126,350","-0.002367","[-0.005671, +0.000938]","-0.003859","[-0.9247%, +0.153%]","0.160469","-","","",""
"dbd_avg_o2_sdb","Metric","N/A","","mean","0.645413","129,140","0.644515","130,475","-0.000898","[-0.004052, +0.002255]","-0.001392","[-0.6278%, +0.3494%]","0.576600","-","","",""
"dbd_bottom_sheet_load_latency_ios","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dbd_cx_retrial","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dbd_existing_attach_rate_post_checkout","Metric","N/A","","mean","0.064596","322,096","0.063347","323,728","-0.001249","[-0.002079, -0.000419]","-0.019339","[-3.2185%, -0.6493%]","0.003171","Significant","","",""
"dbd_funnel_click_item","Metric","N/A","","mean","0.052021","980,028","0.051772","980,262","-0.000238","[-0.000842, +0.000367]","-0.004572","[-1.6191%, +0.7048%]","0.440618","-","","",""
"dbd_new_attach_rate_post_checkout","Metric","N/A","","mean","0.013603","615,124","0.013383","614,254","-0.000220","[-0.00045, +0.00001]","-0.016187","[-3.3078%, +0.0704%]","0.060341","-","","",""
"dbd_nv_trials_net_new_per_cx","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dbd_nv_trials_per_cx","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dbd_nv_trials_retrial_per_cx","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dbd_o2_aov","Metric","N/A","","mean","21.866769","126,807","21.862656","128,154","0.012386","[-0.120665, +0.145437]","0.000566","[-0.5518%, +0.6651%]","0.855225","-","","",""
"dbd_o2_gmv","Metric","N/A","","mean","4.074268","1,359,338","4.082549","1,359,447","0.020775","[-0.02428, +0.06583]","0.005099","[-0.5959%, +1.6157%]","0.366126","-","","",""
"dbd_o2_subtotal","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dbd_o2_trials_per_cx","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dbd_o2_vp","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dbd_o2_vp_per_cx","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dbd_o_2_trials_per_cx_post_checkout","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dbd_o_2_trials_per_cx_pre_checkout","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dbd_order_frequency","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dbd_order_frequency_14d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dbd_order_frequency_28d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dbd_order_frequency_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dbd_order_rate","Metric","N/A","","mean","0.186322","1,359,338","0.186736","1,359,447","0.000518","[-0.001331, +0.002368]","0.002782","[-0.7145%, +1.2709%]","0.582858","-","","",""
"dbd_order_rate_7d","Metric","N/A","","mean","0.066489","1,208,995","0.067092","1,208,912","0.000613","[-0.000134, +0.00136]","0.009214","[-0.2021%, +2.045%]","0.107964","-","","",""
"doubledash_active_user","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"doubledash_l_28_d_mau","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"doubledash_l_28_d_post_checkout_mau","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"doubledash_l_28_d_pre_checkout_mau","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"doubledash_post_checkout_active_user","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"doubledash_post_checkout_wau","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"doubledash_pre_checkout_active_user","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"doubledash_pre_checkout_wau","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"doubledash_wau","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"o1_aov","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"o1_gmv","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"o1_subtotal","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"o1_vp","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"o1_vp_per_cx","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ox_subtotal_combined","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
